"categoryid","name"
1,"Books"
2,"Video Games"
3,"Electronics"
11,"GameBoy Advance"
12,"GameCube"
13,"Windows"
14,"Mac"
16,"Nintendo DS"
17,"Nintendo Wii"
18,"Nintendo 64"
19,"PlayStation"
20,"PlayStation 2"
21,"PlayStation 3"
22,"Sony PSP"
23,"XBox"
24,"XBox 360"
25,"Dreamcast"
26,"NES"
27,"Super Nintendo"
28,"Photography"
29,"Digital Cameras"
30,"Point and Shoots"
31,"Digital SLRs"
32,"Micro Four Thirds"
34,"Professional"
35,"Accessories"
36,"Memory Cards"
37,"Flashes"
38,"Lenses"
39,"Tripods"
40,"Underwater"
41,"Camcorders"
42,"Flash Memory"
43,"Hard Drive"
44,"Home Theater"
45,"TVs & Displays"
46,"LCD TVs"
47,"Plasma TVs"
48,"Monitors"
49,"Digital Media Devices"
50,"Projectors"
51,"Computers"
52,"Laptop Computers"
53,"Networking"
54,"Storage"
55,"Personal Audio"
56,"MP3 Players"
57,"Earphones"
58,"Home Audio"
59,"Blu Ray Players"
60,"Apple Gadgets"
61,"iPods"
62,"iPod Mini"
63,"iPod Nano"
64,"iPod Shuffle"
65,"iPod Touch"
66,"iPod Classic"
67,"Canon Compatible"
68,"Nikon Compatible"
69,"Mirrorless System Cameras"
70,"Luxury Photo"
71,"Pentax Compatible"
72,"Sony Alpha Compatible"
73,"Four Thirds Compatible"
74,"Micro Four Thirds Compatible"
75,"Samsung NX Compatible"
76,"Sony NEX Compatible"
77,"Tablets"
78,"Mac"
79,"Desktops"
80,"Computer Accessories"
81,"Phones"
82,"PC Laptops"
83,"Sporting Goods"
84,"Snow Equipment"
85,"Cycling"
86,"Kitchen"
87,"Apps"
88,"Home Robots"
89,"iPhone"
90,"iPad"
1000001,"Recently Updated"
1000002,"Recently Added"
1000003,"Outliers"
